City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Chumphon,TH,2022-06-16 10:41:14,10.3333,98.8333,80.31,81,77,0.56
216,Cherskiy,RU,2022-06-16 10:41:14,68.75,161.3,50.4,40,14,9.53
217,Recodo,PH,2022-06-16 10:41:14,6.9519,121.9636,80.62,89,75,10.36
218,Saint-Pierre,RE,2022-06-16 10:41:15,-21.3393,55.4781,80.28,65,0,9.22
219,Vila Franca Do Campo,PT,2022-06-16 10:41:15,37.7167,-25.4333,68.2,68,19,4.81
220,Saint-Francois,FR,2022-06-16 10:41:15,46.4154,3.9054,88.68,47,0,8.05
221,Kaitangata,NZ,2022-06-16 10:41:15,-46.2817,169.8464,41.0,80,93,8.61
222,Ancud,CL,2022-06-16 10:41:15,-41.8697,-73.8203,45.23,76,81,7.4
223,Wellington,NZ,2022-06-16 10:40:02,-41.2866,174.7756,57.06,78,99,13.8
224,Tilichiki,RU,2022-06-16 10:41:15,60.4667,166.1,42.76,93,93,6.44
225,Pestovo,RU,2022-06-16 10:41:16,58.5938,35.8024,67.26,42,21,11.52
226,Narsaq,GL,2022-06-16 10:41:16,60.9167,-46.05,46.62,43,0,3.24
227,Bilma,NE,2022-06-16 10:41:16,18.6853,12.9164,102.81,18,38,4.5
228,Kuusankoski,FI,2022-06-16 10:41:16,60.907,26.6244,60.42,69,75,12.66
229,Salalah,OM,2022-06-16 10:41:16,17.0151,54.0924,87.89,79,75,18.41
230,Simao,CN,2022-06-16 10:42:16,22.7886,100.9748,68.13,98,100,2.82
231,Darjiling,IN,2022-06-16 10:39:32,27.0333,88.2667,59.14,96,100,2.35
232,Havre-Saint-Pierre,CA,2022-06-16 10:42:16,50.2334,-63.5986,53.96,82,0,10.36
233,Kieta,PG,2022-06-16 10:42:16,-6.2167,155.6333,78.42,87,77,5.35
234,Okha,RU,2022-06-16 10:42:17,53.5739,142.9478,42.98,94,100,5.06
235,Saint Anthony,US,2022-06-16 10:42:17,45.0205,-93.218,68.25,63,20,10.36
236,Luderitz,NA,2022-06-16 10:40:11,-26.6481,15.1594,74.05,27,14,9.98
237,Kodino,RU,2022-06-16 10:42:17,63.7198,39.6447,61.27,75,72,9.73
238,Oneida,US,2022-06-16 10:42:17,43.2001,-75.4663,69.13,91,100,12.66
239,Nalut,LY,2022-06-16 10:42:17,30.3333,10.85,89.46,16,0,7.23
240,Praia Da Vitoria,PT,2022-06-16 10:42:17,38.7333,-27.0667,69.76,88,75,8.63
241,Poronaysk,RU,2022-06-16 10:42:17,49.2167,143.1167,50.97,86,35,6.98
242,Vangaindrano,MG,2022-06-16 10:42:18,-23.35,47.6,80.04,63,22,7.07
243,Kedrovyy,RU,2022-06-16 10:42:18,56.1667,91.8167,60.87,96,100,3.6
244,Pruhonice,CZ,2022-06-16 10:42:18,49.9996,14.5502,80.38,50,0,6.91
245,Point Pleasant,US,2022-06-16 10:42:18,40.0832,-74.0682,68.97,84,100,5.01
246,Oktyabrskiy,RU,2022-06-16 10:42:18,54.4815,53.471,75.61,60,79,8.41
247,Iqaluit,CA,2022-06-16 10:40:08,63.7506,-68.5145,35.33,93,100,12.66
248,High Wycombe,GB,2022-06-16 10:42:18,51.6291,-0.7493,80.49,46,68,5.95
249,Bandarbeyla,SO,2022-06-16 10:42:18,9.4942,50.8122,87.64,54,45,27.67
250,Great Falls,US,2022-06-16 10:42:18,47.5002,-111.3008,50.41,87,0,0.0
251,Chuy,UY,2022-06-16 10:42:19,-33.6971,-53.4616,50.32,91,100,4.61
252,Chapais,CA,2022-06-16 10:42:19,49.7834,-74.8492,64.18,72,97,12.62
253,Berdigestyakh,RU,2022-06-16 10:42:19,62.0989,126.6992,63.09,64,79,4.72
254,Pacific Grove,US,2022-06-16 10:42:19,36.6177,-121.9166,53.71,85,0,7.0
255,Roseburg,US,2022-06-16 10:42:19,43.2165,-123.3417,56.17,90,100,0.0
256,Olga,RU,2022-06-16 10:42:19,43.7444,135.2892,53.65,94,96,3.29
257,Cururupu,BR,2022-06-16 10:42:19,-1.8283,-44.8683,78.37,77,84,4.14
258,Tevaitoa,PF,2022-06-16 10:42:19,-16.7833,-151.5,79.9,74,7,17.63
259,San Borja,BO,2022-06-16 10:42:19,-14.8167,-66.85,60.19,93,0,2.77
260,Wanxian,CN,2022-06-16 10:42:20,30.8039,108.3897,86.29,67,99,5.91
261,Dunedin,NZ,2022-06-16 10:42:20,-45.8742,170.5036,43.81,80,100,8.01
262,Shuiji,CN,2022-06-16 10:42:20,27.4214,118.345,70.95,99,100,0.47
263,Sladkovo,RU,2022-06-16 10:42:20,55.5284,70.3385,71.74,52,9,12.39
264,Shaunavon,CA,2022-06-16 10:42:20,49.6501,-108.4181,51.58,92,60,16.98
265,Midrand,ZA,2022-06-16 10:42:20,-25.9636,28.1378,56.7,33,0,1.14
266,Christchurch,NZ,2022-06-16 10:41:06,-43.5333,172.6333,48.9,77,39,17.27
267,Paamiut,GL,2022-06-16 10:42:20,61.994,-49.6678,37.49,75,35,6.13
268,Jian,CN,2022-06-16 10:42:20,27.1172,114.9793,72.77,89,100,7.38
269,Rabo De Peixe,PT,2022-06-16 10:42:21,37.8,-25.5833,68.27,92,40,11.5
270,Tabou,CI,2022-06-16 10:42:21,4.423,-7.3528,75.94,88,100,14.09
271,Sao Felix Do Xingu,BR,2022-06-16 10:42:21,-6.6447,-51.995,71.13,73,0,1.14
272,San Jose,US,2022-06-16 10:42:21,37.3394,-121.895,57.88,74,0,5.75
273,Poum,NC,2022-06-16 10:42:21,-20.2333,164.0167,78.03,83,6,20.31
274,Tambura,SS,2022-06-16 10:42:21,5.6,27.4667,92.73,37,29,3.62
275,Balkhash,KZ,2022-06-16 10:42:21,46.844,74.9804,84.81,18,0,17.9
276,Vasai,IN,2022-06-16 10:40:21,19.47,72.8,91.49,65,63,13.29
277,Ilanskiy,RU,2022-06-16 10:42:22,56.2358,96.065,77.05,56,3,5.39
278,San Patricio,US,2022-06-16 10:42:22,28.017,-97.5169,82.83,96,76,6.62
279,The Valley,AI,2022-06-16 10:42:05,18.217,-63.0578,81.1,78,100,18.37
280,San Pedro,PH,2022-06-16 10:43:22,14.35,121.0167,87.35,70,75,8.05
281,Luau,AO,2022-06-16 10:43:22,-10.7073,22.2247,87.58,14,19,3.96
282,Canakkale,TR,2022-06-16 10:43:22,40.0833,26.8333,72.18,40,52,18.41
283,Te Anau,NZ,2022-06-16 10:40:52,-45.4167,167.7167,40.44,94,46,2.15
284,Araouane,ML,2022-06-16 10:43:22,18.9048,-3.5265,102.31,22,34,17.25
285,Boshnyakovo,RU,2022-06-16 10:40:12,49.6333,142.1667,51.66,81,0,4.12
286,Sao Joao Da Barra,BR,2022-06-16 10:43:23,-21.6403,-41.0511,60.89,79,46,5.7
287,Graham,US,2022-06-16 10:43:23,47.0529,-122.2943,51.57,93,75,0.0
288,Aleksandrovsk-Sakhalinskiy,RU,2022-06-16 10:43:23,50.8975,142.1561,49.57,92,13,3.24
289,Matara,LK,2022-06-16 10:43:23,5.9485,80.5353,79.61,83,100,10.92
290,Egvekinot,RU,2022-06-16 10:43:24,66.3167,-179.1667,32.36,100,100,2.04
