City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
320,Niksar,TR,40.5917,36.9517,68.56,86,68,4.85,broken clouds
321,Mezen,RU,65.8522,44.24,67.53,51,55,6.06,broken clouds
322,Swan Hill,AU,-35.3378,143.5544,50.43,90,81,6.38,broken clouds
323,San Quintin,MX,30.4833,-115.95,68.47,62,0,5.28,clear sky
324,Miloslavskoye,RU,53.5815,39.4399,63.46,74,8,6.82,clear sky
325,Waterloo,CA,43.4668,-80.5164,84.07,70,40,14.97,scattered clouds
326,Dimitrovgrad,RU,54.2139,49.6184,64.2,86,100,3.76,overcast clouds
327,Palmer,US,42.1584,-72.3287,71.62,67,100,14.97,overcast clouds
328,Bilma,NE,18.6853,12.9164,105.22,13,48,10.16,scattered clouds
329,Basudebpur,IN,21.1353,86.7386,85.93,70,100,14.03,overcast clouds
330,Alice Springs,AU,-23.7,133.8833,47.75,76,23,0.0,few clouds
331,Oga,IT,46.4631,10.347,76.69,42,41,9.17,scattered clouds
332,Hobyo,SO,5.3505,48.5268,79.68,80,100,24.2,overcast clouds
333,Oistins,BB,13.0667,-59.5333,86.09,74,40,14.97,scattered clouds
334,Mount Gambier,AU,-37.8333,140.7667,47.57,96,100,3.29,overcast clouds
335,Americus,US,32.0724,-84.2327,91.53,55,0,6.91,clear sky
336,Kutum,SD,14.2,24.6667,92.75,13,1,14.23,clear sky
337,Vila Velha,BR,-20.3297,-40.2925,73.94,72,75,9.22,broken clouds
338,Kaitangata,NZ,-46.2817,169.8464,38.95,88,60,5.35,broken clouds
339,Vryburg,ZA,-26.9566,24.7284,48.51,27,17,4.29,few clouds
340,Saint-Francois,FR,46.4154,3.9054,91.67,37,0,2.3,clear sky
341,Mount Isa,AU,-20.7333,139.5,58.77,38,6,6.91,clear sky
342,Soyo,AO,-6.1349,12.3689,75.51,71,4,10.83,clear sky
343,Chernyshevskiy,RU,63.0128,112.4714,51.91,94,51,3.8,broken clouds
344,Newport,GB,51.5877,-2.9984,78.91,59,91,6.22,overcast clouds
