City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,Oxford,GB,81.5,clear sky,51.7522,-1.256,Malmaison Oxford
539,Mojo,ET,78.31,overcast clouds,8.6,39.1167,Abroma Hotel
549,Pangoa,PE,80.74,clear sky,-12.1167,-73.0,
551,Ingham,US,84.9,broken clouds,42.6,-84.3833,Sunset Mobile Home Park
557,Warrington,GB,80.46,clear sky,53.3925,-2.5802,Villaggio Hotel
560,Maracaibo,VE,88.99,broken clouds,10.6317,-71.6406,Motel Aladdin
562,Jacareacanga,BR,89.01,few clouds,-6.2222,-57.7528,Casa do Ian😎
571,Nanakuli,US,75.45,clear sky,21.3906,-158.1547,Camp Pālehua
572,Vanimo,PG,78.15,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
575,Rabat,MA,76.05,scattered clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
576,Dicabisagan,PH,80.87,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
578,Kudahuvadhoo,MV,83.91,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
583,Salalah,OM,86.09,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
584,Zigos,GR,77.99,scattered clouds,41.0167,24.3833,Villa in Village
586,Linhares,BR,76.3,broken clouds,-19.3911,-40.0722,Hotel Conceição
587,Bereda,ES,87.42,overcast clouds,43.2686,-7.5406,Pazo de Verdes
588,Severiano Melo,BR,80.91,overcast clouds,-5.7772,-37.9578,Chácara Bela Vista
595,Terenos,BR,87.51,clear sky,-20.4422,-54.8603,Rancho Pitzer
601,Silago,PH,80.56,scattered clouds,10.5291,125.1618,Silago Tourist Inns
603,Moose Factory,CA,76.98,broken clouds,51.2585,-80.6094,Cree Village Eco Lodge
604,Samarai,PG,81.43,broken clouds,-10.6167,150.6667,Nuli Sapi
607,Hohhot,CN,75.49,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
613,Morant Bay,JM,87.42,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
614,Jilib,SO,77.83,overcast clouds,0.4883,42.7854,Waadi Hotel
615,Labuhan,ID,79.68,broken clouds,-6.8844,112.2051,DoubleFAG
617,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
618,Wajid,SO,83.79,scattered clouds,3.8093,43.2471,xamdihotelresturant114
619,Armacao De Pera,PT,75.09,overcast clouds,37.1026,-8.357,VILA VITA Parc Resort & Spa
620,Aku,NG,79.81,light rain,6.7081,7.3167,Diewa Hotel And Resort
623,Semnan,IR,81.93,clear sky,35.5729,53.3971,Semnan Tourist Hotel
626,Dillon,US,87.78,scattered clouds,34.4166,-79.3712,Dillon Express Inn
628,Ariquemes,BR,83.5,few clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
630,Tambun,ID,83.48,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
631,Sfantu Gheorghe,RO,76.57,few clouds,45.8667,25.7833,Hotel Park
